folder_path,t2,flair,t1,t1ce,seg
/kaggle/input/ssssample/sample/BraTS-MET-00243-000,/kaggle/input/ssssample/sample/BraTS-MET-00243-000/BraTS-MET-00243-000-t2w.nii,/kaggle/input/ssssample/sample/BraTS-MET-00243-000/BraTS-MET-00243-000-t2f.nii,/kaggle/input/ssssample/sample/BraTS-MET-00243-000/BraTS-MET-00243-000-t1n.nii,/kaggle/input/ssssample/sample/BraTS-MET-00243-000/BraTS-MET-00243-000-t1c.nii,/kaggle/input/ssssample/sample/BraTS-MET-00243-000/BraTS-MET-00243-000-seg.nii
/kaggle/input/ssssample/sample/BraTS-MET-00029-000,/kaggle/input/ssssample/sample/BraTS-MET-00029-000/BraTS-MET-00029-000-t2w.nii,/kaggle/input/ssssample/sample/BraTS-MET-00029-000/BraTS-MET-00029-000-t2f.nii,/kaggle/input/ssssample/sample/BraTS-MET-00029-000/BraTS-MET-00029-000-t1n.nii,/kaggle/input/ssssample/sample/BraTS-MET-00029-000/BraTS-MET-00029-000-t1c.nii,/kaggle/input/ssssample/sample/BraTS-MET-00029-000/BraTS-MET-00029-000-seg.nii
/kaggle/input/ssssample/sample/BraTS-MET-00005-000,/kaggle/input/ssssample/sample/BraTS-MET-00005-000/BraTS-MET-00005-000-t2w.nii,/kaggle/input/ssssample/sample/BraTS-MET-00005-000/BraTS-MET-00005-000-t2f.nii,/kaggle/input/ssssample/sample/BraTS-MET-00005-000/BraTS-MET-00005-000-t1n.nii,/kaggle/input/ssssample/sample/BraTS-MET-00005-000/BraTS-MET-00005-000-t1c.nii,/kaggle/input/ssssample/sample/BraTS-MET-00005-000/BraTS-MET-00005-000-seg.nii
/kaggle/input/ssssample/sample/BraTS-MET-00292-000,/kaggle/input/ssssample/sample/BraTS-MET-00292-000/BraTS-MET-00292-000-t2w.nii,/kaggle/input/ssssample/sample/BraTS-MET-00292-000/BraTS-MET-00292-000-t2f.nii,/kaggle/input/ssssample/sample/BraTS-MET-00292-000/BraTS-MET-00292-000-t1n.nii,/kaggle/input/ssssample/sample/BraTS-MET-00292-000/BraTS-MET-00292-000-t1c.nii,/kaggle/input/ssssample/sample/BraTS-MET-00292-000/BraTS-MET-00292-000-seg.nii
/kaggle/input/ssssample/sample/BraTS-MET-00539-000,/kaggle/input/ssssample/sample/BraTS-MET-00539-000/BraTS-MET-00539-000-t2w.nii,/kaggle/input/ssssample/sample/BraTS-MET-00539-000/BraTS-MET-00539-000-t2f.nii,/kaggle/input/ssssample/sample/BraTS-MET-00539-000/BraTS-MET-00539-000-t1n.nii,/kaggle/input/ssssample/sample/BraTS-MET-00539-000/BraTS-MET-00539-000-t1c.nii,/kaggle/input/ssssample/sample/BraTS-MET-00539-000/BraTS-MET-00539-000-seg.nii
/kaggle/input/ssssample/sample/BraTS-MET-00530-000,/kaggle/input/ssssample/sample/BraTS-MET-00530-000/BraTS-MET-00530-000-t2w.nii,/kaggle/input/ssssample/sample/BraTS-MET-00530-000/BraTS-MET-00530-000-t2f.nii,/kaggle/input/ssssample/sample/BraTS-MET-00530-000/BraTS-MET-00530-000-t1n.nii,/kaggle/input/ssssample/sample/BraTS-MET-00530-000/BraTS-MET-00530-000-t1c.nii,/kaggle/input/ssssample/sample/BraTS-MET-00530-000/BraTS-MET-00530-000-seg.nii
/kaggle/input/ssssample/sample/BraTS-MET-00014-000,/kaggle/input/ssssample/sample/BraTS-MET-00014-000/BraTS-MET-00014-000-t2w.nii,/kaggle/input/ssssample/sample/BraTS-MET-00014-000/BraTS-MET-00014-000-t2f.nii,/kaggle/input/ssssample/sample/BraTS-MET-00014-000/BraTS-MET-00014-000-t1n.nii,/kaggle/input/ssssample/sample/BraTS-MET-00014-000/BraTS-MET-00014-000-t1c.nii,/kaggle/input/ssssample/sample/BraTS-MET-00014-000/BraTS-MET-00014-000-seg.nii
/kaggle/input/ssssample/sample/BraTS-MET-00007-000,/kaggle/input/ssssample/sample/BraTS-MET-00007-000/BraTS-MET-00007-000-t2w.nii,/kaggle/input/ssssample/sample/BraTS-MET-00007-000/BraTS-MET-00007-000-t2f.nii,/kaggle/input/ssssample/sample/BraTS-MET-00007-000/BraTS-MET-00007-000-t1n.nii,/kaggle/input/ssssample/sample/BraTS-MET-00007-000/BraTS-MET-00007-000-t1c.nii,/kaggle/input/ssssample/sample/BraTS-MET-00007-000/BraTS-MET-00007-000-seg.nii
/kaggle/input/ssssample/sample/BraTS-MET-00379-000,/kaggle/input/ssssample/sample/BraTS-MET-00379-000/BraTS-MET-00379-000-t2w.nii,/kaggle/input/ssssample/sample/BraTS-MET-00379-000/BraTS-MET-00379-000-t2f.nii,/kaggle/input/ssssample/sample/BraTS-MET-00379-000/BraTS-MET-00379-000-t1n.nii,/kaggle/input/ssssample/sample/BraTS-MET-00379-000/BraTS-MET-00379-000-t1c.nii,/kaggle/input/ssssample/sample/BraTS-MET-00379-000/BraTS-MET-00379-000-seg.nii
/kaggle/input/ssssample/sample/BraTS-MET-00089-000,/kaggle/input/ssssample/sample/BraTS-MET-00089-000/BraTS-MET-00089-000-t2w.nii,/kaggle/input/ssssample/sample/BraTS-MET-00089-000/BraTS-MET-00089-000-t2f.nii,/kaggle/input/ssssample/sample/BraTS-MET-00089-000/BraTS-MET-00089-000-t1n.nii,/kaggle/input/ssssample/sample/BraTS-MET-00089-000/BraTS-MET-00089-000-t1c.nii,/kaggle/input/ssssample/sample/BraTS-MET-00089-000/BraTS-MET-00089-000-seg.nii
